LIMIT_BAL,AGE,PAY_0,PAY_2,PAY_3,BILL_AMT1,BILL_AMT2,PAY_AMT1,PAY_AMT2,default
122911,44,-1,4,7,12458,234799,9746,67244,0
438127,62,6,3,8,344518,58041,64471,51021,0
300477,41,-2,5,0,134563,326779,68589,14194,1
483468,41,4,5,0,358107,281475,70470,77012,1
117271,59,-2,7,2,201606,329824,34301,43451,1
241876,23,8,7,7,67086,82834,50978,84759,0
23155,53,-2,-2,-2,290760,345218,8448,48759,0
204292,37,6,0,5,289856,38868,13607,90562,0
162770,33,7,1,-1,183652,351296,89259,26364,0
451048,25,-2,3,8,249451,297390,57402,456,0
163956,56,3,3,3,287948,181074,1184,5945,0
303132,31,4,4,8,221168,202017,28485,59272,1
174562,43,0,0,2,144223,6581,85339,24595,1
129502,61,1,-2,4,275259,301883,98635,18482,0
365970,39,2,2,7,89007,256501,52806,59292,0
268930,61,0,-1,4,47483,141707,39798,27985,0
223945,63,-2,8,7,182813,26668,74049,91975,0
446700,52,1,7,1,9160,399883,88238,49709,0
263805,36,8,2,3,259920,120799,9629,30855,0
234126,28,6,-2,2,242186,268477,54037,59203,0
52850,53,1,5,-2,349908,272326,40560,87141,0
340090,39,0,5,2,52033,235869,99801,2811,0
443819,30,6,7,8,154823,-6406,68183,56155,0
449624,65,0,0,0,46847,209867,53832,80538,0
243761,41,-2,4,5,227215,179302,42033,98466,0
256592,39,0,5,-2,257966,35298,32820,99006,1
34992,32,0,4,0,296802,-9759,80320,93728,0
172586,57,-2,0,2,74959,146102,88920,24632,0
275122,49,8,8,-2,215759,225393,91500,50572,1
333894,28,8,7,2,205684,335540,141,42052,0
207096,38,8,8,6,171799,75004,65798,71179,0
359880,55,4,0,0,302235,40322,80964,46769,0
302231,30,7,8,3,31743,192011,79669,88960,0
312039,64,7,-2,-2,378020,19314,61218,2854,0
160168,64,-2,1,1,317855,327858,91118,98910,0
171298,35,0,5,-1,34759,110851,64209,88927,0
318602,48,2,8,6,171397,335808,47266,5271,0
123153,56,7,7,-1,267967,18890,95404,95364,1
302282,56,7,8,3,117868,157946,61150,44048,0
292648,48,6,3,-1,37437,35613,60996,47969,0
187198,28,7,-2,5,371205,153335,80537,14027,0
385395,26,-1,8,7,364690,261129,10662,61515,0
372181,21,5,3,6,380844,77803,38743,90033,0
211484,27,2,5,-1,212393,375845,88812,41726,0
319742,49,7,4,7,120513,361872,23737,19791,0
199249,37,4,4,3,357953,240759,48031,71965,0
293181,30,6,2,-2,-9511,145007,17306,27605,0
318206,47,-2,4,6,76529,6017,4391,7363,0
109599,46,4,8,1,315288,316859,78115,2294,0
266160,29,-1,0,4,89631,137184,44686,79252,0
430446,52,7,-2,2,222884,202868,88588,43303,1
132540,51,-1,4,6,155563,53978,79666,39909,0
393891,31,2,0,3,61812,40191,224,72454,0
129735,21,-1,1,-1,-8612,30720,10121,80977,0
288600,54,5,-2,0,335224,133394,85880,55962,1
76896,56,4,4,0,59721,173067,48330,2830,0
334601,33,0,8,0,97330,49393,39717,70684,0
115228,27,0,0,7,398353,17635,86213,26016,0
123187,63,8,5,0,65146,97940,52874,40842,0
17452,58,2,4,5,48105,226346,77214,27482,0
430531,22,0,-1,-2,207691,8836,22199,56047,0
425794,44,1,5,5,236916,192861,61110,29129,0
155093,25,2,4,3,-3447,74838,97076,3743,0
381369,67,6,-2,2,213981,-5258,82166,18041,0
203201,35,-1,4,7,258705,4050,7722,14621,0
241758,64,2,-2,2,254733,277525,55240,59760,0
449054,61,6,0,-2,54666,311319,7301,32687,0
103005,38,2,4,-2,63795,176992,31683,1732,0
28909,66,-1,-1,5,313600,298231,44724,72713,1
20068,29,1,7,-2,129624,397826,90129,53982,0
24925,30,8,4,-1,109998,-2441,19329,97985,0
164062,28,2,2,8,252532,136290,83669,43032,0
100265,41,0,1,7,162503,117858,55130,1388,0
436044,35,1,1,5,313302,61376,77370,31130,0
42097,67,6,7,-1,380464,13319,53543,18008,0
19879,24,-2,-1,8,261793,291384,51249,56157,0
271609,39,6,3,-2,37333,150790,39276,42362,0
17213,30,6,-1,2,102676,344028,58542,47879,0
388734,66,8,1,6,333404,146802,69141,17127,1
257766,45,2,0,7,100655,313035,63560,38079,0
84813,61,4,3,5,281267,354352,25969,65372,0
382593,50,-1,6,-2,262774,298543,31782,50840,0
20638,47,4,8,-1,379530,329090,3838,72116,1
94294,33,5,7,-1,19241,81019,43828,85472,0
83523,29,5,1,-1,373461,45800,11890,8099,1
78344,28,8,8,1,390509,135829,85083,3475,1
235571,33,6,4,2,126480,101091,99490,41274,1
146602,58,-2,0,1,216064,289745,7940,54569,0
280706,66,8,3,5,-4183,287490,15059,70649,0
32738,38,-1,6,2,65845,224621,37367,38931,0
405032,67,0,8,6,176797,353998,18969,60411,0
273881,57,4,1,0,263749,263509,68738,14808,0
172448,51,4,-1,1,382856,217594,63240,24374,0
265117,39,8,2,0,48568,179642,80679,19458,1
499998,21,4,4,4,397090,181253,83518,92479,0
116121,24,6,7,-1,234887,290871,99995,31703,0
239088,64,7,8,0,21593,395279,1431,79745,0
411927,44,8,4,-2,385489,307886,91057,86022,0
270339,57,-2,6,-2,336209,35663,83750,44202,0
420645,29,7,4,4,350514,296536,17192,6722,0
299962,65,1,0,7,93782,394158,37729,32832,0
429065,47,5,5,1,94339,192672,40133,44830,0
187235,58,0,2,7,252585,226776,79828,61206,0
212252,35,8,1,6,87337,399944,86329,56907,0
39272,59,2,3,5,328165,48623,98691,39493,0
219944,40,-1,-2,5,395079,105624,51093,29753,0
283120,25,3,0,-2,322701,24888,2709,94749,0
207392,46,2,0,1,194707,95420,21013,6170,0
130424,26,4,3,1,297303,352694,71906,35143,0
133225,40,8,6,-2,152711,236138,46005,74570,1
283139,52,0,2,-2,321511,213422,8415,50148,0
188321,55,6,6,3,195881,89155,54563,9682,0
317578,49,6,4,-2,128537,160483,33674,72427,0
52082,27,6,1,1,187445,332797,3383,41331,0
199927,39,4,8,7,22908,50636,30605,28451,1
36520,43,8,8,1,267600,209641,41161,38340,0
316792,67,-2,5,7,46282,89663,82917,93785,0
75633,42,-2,0,2,217723,148840,96261,95759,0
92180,31,6,4,3,70726,262404,33979,9128,0
491294,36,7,6,7,385733,184069,96784,34086,0
72726,25,8,1,4,331343,359734,10044,91191,0
396821,27,0,-1,1,111775,160639,27019,82225,1
179924,56,-1,-1,1,398086,87032,62022,72483,0
272139,52,0,4,3,176998,136994,50019,3692,0
191902,51,7,6,-1,355023,58147,34673,28657,0
395439,47,2,5,3,285954,76687,42724,62387,0
105856,26,4,2,5,325022,117619,16609,26638,1
410626,25,6,2,1,99813,148868,61472,23193,0
367092,43,4,3,-1,301694,354925,19912,21775,0
193622,62,1,1,-2,289735,12035,32908,23730,1
271486,22,2,8,-1,294643,33265,47844,72421,1
377747,57,4,-1,1,30373,85816,42219,94819,0
346071,50,2,0,0,317802,300700,87717,29030,0
317034,67,5,0,2,110782,324181,26026,57028,0
312295,49,4,4,-1,190582,250896,20481,90174,0
486669,23,-1,5,0,16734,252929,20144,21803,0
167221,25,0,8,1,152360,96152,11088,6034,1
354737,63,2,4,-1,157397,272267,74851,4034,1
366777,34,8,7,5,210575,336790,46342,8445,0
493155,26,-1,4,1,-3312,380122,40586,37473,0
197450,26,7,1,0,288888,208630,21116,36411,0
334635,61,0,8,7,213149,147001,32310,53376,0
148665,52,2,4,4,237171,149047,39383,42301,0
167517,57,8,1,6,317951,337758,93352,66525,0
387972,53,5,1,6,125982,208950,13205,81018,0
248986,35,7,3,1,185571,383981,40553,474,1
254367,52,0,5,-1,159528,306609,73829,41984,0
236486,57,6,3,-2,291410,322267,34415,1319,0
499052,53,0,1,4,7354,200598,38230,29720,0
447680,58,0,4,1,255712,272002,67007,87092,0
358103,66,6,0,6,57682,14074,1567,54726,0
470498,44,-2,8,4,212291,189065,34730,86244,0
265280,48,7,1,3,178436,362112,28562,92486,0
475939,48,0,2,1,234572,222707,50548,8376,1
442628,69,-1,4,0,278909,97892,12656,36925,0
130118,39,5,4,-1,195890,265911,73171,90196,0
111639,51,7,6,-1,42588,69413,22209,35670,0
31602,64,4,-2,-1,12873,163024,75549,56100,0
14791,42,6,4,2,376571,162554,36411,82357,0
445423,66,4,-1,0,121524,368179,17296,44486,0
389318,29,7,3,4,316077,252051,1838,4990,0
390321,59,0,-1,2,225088,6927,92126,66546,1
60775,63,8,3,1,153711,175245,44446,78840,0
99186,65,8,3,6,201166,144554,39184,26178,0
207227,60,6,-1,-1,51290,379212,61175,63271,0
190587,68,2,-2,0,304198,225635,1107,69601,0
180310,43,-2,4,5,8676,238081,49053,66916,0
387625,50,0,6,3,73859,343609,21293,56943,0
351653,23,1,-1,6,382292,15797,24713,27331,0
251024,36,3,7,5,123552,374902,13006,5959,0
386620,53,-2,0,1,13862,12288,54989,60677,0
133120,52,2,2,2,368496,95200,96142,48476,1
163947,69,3,-1,2,4692,43277,91791,31666,0
499760,65,3,8,-2,86008,186780,72747,15917,0
318974,58,-1,4,0,36029,164669,98361,19424,0
114131,57,8,-1,2,245162,16871,85666,18596,0
353625,54,0,1,1,248348,66218,57535,31764,0
290567,65,8,5,4,151234,278877,90581,61155,0
463761,25,3,-2,7,224122,218459,3827,46593,0
428597,25,2,6,0,238934,249451,65186,74401,1
209542,55,0,6,1,159328,285467,67666,77238,1
285875,62,5,4,1,248602,194996,98882,90697,1
244631,22,3,-1,8,188810,209156,31599,69649,1
244989,68,6,-1,4,221491,280778,23794,76856,0
288910,23,2,1,3,242382,19615,95432,29403,0
138514,37,7,8,0,342992,277118,99719,19065,1
178157,41,-2,-2,-2,54050,332786,39217,11072,1
270082,22,6,8,6,139270,261154,49784,92174,0
476981,52,3,6,6,339073,386895,10819,53231,0
110353,21,3,8,8,317444,374707,67556,47473,0
245113,63,8,1,5,117165,291629,94075,67835,0
96346,67,0,-2,6,276750,272987,96715,45965,0
234699,60,4,5,8,359943,359290,16525,11497,0
448920,64,6,5,0,186711,114879,97396,281,0
103264,23,-2,-2,4,58317,120404,59916,71018,0
250879,68,8,3,6,215657,327058,19184,11635,0
232424,30,-1,6,-2,-4592,318357,92562,82564,0
168117,50,4,6,-1,91732,156782,93379,28523,0
124163,54,0,-1,8,29669,179209,86207,58816,0
280143,23,4,3,5,196916,329683,17431,84172,0
303851,43,5,2,8,112407,55788,4781,59541,1
421921,23,-1,5,8,172729,227735,98488,39499,0
174434,67,8,1,8,197005,85159,42286,36501,0
93805,52,6,2,7,121850,13719,77522,99563,0
286532,64,8,7,5,27924,28469,34616,63640,0
294212,53,6,-2,2,3165,315693,93255,98871,0
470777,31,7,0,8,299249,279311,75053,96495,0
347867,58,5,1,0,232782,121485,51503,35558,0
331721,47,6,5,6,230531,354469,34593,39413,0
23777,64,2,8,2,262817,286823,17316,96002,0
346243,42,7,6,-2,313668,268660,85547,37653,0
379673,56,0,7,4,322814,389215,63084,79219,0
384311,37,2,-2,-1,145138,398103,51107,45331,0
340060,49,6,7,5,41404,26740,60903,32628,0
310065,41,-2,4,8,252007,33250,85429,83089,0
478032,61,8,2,-1,317731,54987,11743,47476,1
79903,41,3,3,7,-1031,46592,21353,50430,0
366362,66,7,7,6,332437,236863,60287,42780,1
468142,30,2,7,3,232142,275718,18817,32491,0
327192,66,-2,-1,6,199777,10918,27534,91769,0
159102,60,8,7,0,51856,304210,5535,44490,0
158087,48,-1,4,-1,214843,267615,76304,54473,0
238057,38,4,6,4,191242,-7977,29172,59648,1
428267,67,0,7,2,46596,12753,25202,18036,0
159395,66,4,5,3,376770,85784,90825,34727,0
485252,21,2,8,-1,89668,8560,20487,2989,0
199420,23,6,2,-1,150266,340366,76992,79408,0
64486,38,0,-2,4,75376,166898,62107,13492,0
275361,64,-1,7,2,367232,82338,61658,50501,0
13830,25,-2,0,5,219199,271167,14920,47539,0
422639,63,-1,4,3,4017,138815,39071,50406,0
76017,52,1,5,6,324363,182071,58512,43180,0
309138,56,4,-1,7,252073,212255,29610,73497,0
441722,60,-1,0,6,190515,251098,32254,74037,0
496121,40,0,7,-1,156335,373819,8626,22593,0
61644,67,0,-2,6,77995,26981,82462,84514,0
81907,59,1,6,8,89188,122241,75941,65758,0
443027,62,6,-1,2,187729,116081,42472,7237,0
434871,42,0,4,-2,22929,167305,48673,76956,1
75641,48,1,-1,0,52564,279948,18080,67467,0
363119,27,0,-2,5,330375,396045,6284,76247,0
246538,67,3,-1,1,313340,386881,80460,86344,0
377570,33,4,0,7,337824,190543,3726,90450,0
24123,32,7,-2,-1,128283,389078,84004,57355,0
271973,47,2,-1,4,192447,222209,15078,52710,0
311173,55,4,6,2,112635,152589,8754,13974,0
296629,59,-1,6,-1,274048,151879,31799,49375,0
464412,21,-1,3,2,228703,42711,45172,48865,0
216096,50,5,4,7,115326,233316,65067,62921,1
213303,34,7,2,5,151920,381743,43690,73568,0
218150,30,1,3,7,340434,170374,17555,13462,0
98898,68,0,2,5,303811,291836,66831,71189,0
422482,64,4,7,4,352829,35082,87364,60474,0
461607,34,6,3,-2,310043,70914,79849,31390,0
201012,42,3,3,5,123363,117503,25924,53906,0
69821,63,4,-2,1,300516,358765,64382,69967,0
146109,54,6,1,-2,18906,335694,38595,26035,0
286274,65,0,0,4,198847,383580,37571,89114,0
76151,25,4,8,-1,102149,-5172,37041,33001,0
70430,47,3,-2,-2,185033,292773,35714,94562,0
342783,49,2,-2,2,247088,136282,34593,4977,0
247644,56,-1,1,7,395313,298774,61223,40203,0
438145,21,2,4,4,185995,95421,98776,54986,0
19012,42,4,6,-2,19115,162730,24119,90837,0
336910,52,3,3,4,61028,345717,39994,65865,0
180987,67,7,8,2,321190,90147,59439,85433,1
273551,52,7,2,0,250879,358497,39642,40286,0
96296,56,4,2,4,123949,394124,27300,35733,0
437310,38,8,2,8,380097,22167,19881,84807,0
283349,68,-1,-2,1,385391,39186,53922,47479,0
40257,44,7,8,-1,43125,202619,78411,17400,0
271550,45,-2,0,0,362682,311059,52529,77439,1
93591,40,7,5,3,203824,336965,70887,32285,0
163812,60,3,5,3,394607,53554,55887,45361,1
264606,67,0,3,0,225010,87155,60643,79177,0
92951,64,8,8,4,70378,334750,87652,49007,0
24963,60,3,0,0,337004,347958,62462,13645,0
385194,51,5,4,2,126633,168774,1301,54214,0
27330,67,8,0,2,73342,217052,62045,49988,0
33382,40,6,3,8,387530,157549,76332,28014,0
434477,65,6,1,8,70401,298041,77824,80583,0
162027,48,5,7,-1,6228,293546,30639,97794,0
399940,26,-2,7,4,369414,95237,68727,22321,0
481869,59,6,0,-2,205722,389617,43652,94055,1
380359,29,0,1,1,391642,190787,14576,88169,0
350557,42,6,7,-1,348070,202451,3028,86436,0
282355,60,0,5,1,225520,290487,70971,9126,0
299372,56,1,4,-2,230969,44676,82647,30181,0
292902,32,1,8,2,253165,194268,4474,77946,0
400977,54,8,4,3,120166,57603,64458,76899,0
33331,43,8,2,-2,120969,182196,51571,21414,0
353470,54,5,8,5,338266,-2989,79825,71754,0
490305,61,-2,6,8,74934,227975,839,15243,0
474434,53,3,5,2,312843,96261,9789,9359,1
448868,44,0,5,0,129661,315781,26998,50923,0
256367,68,-1,0,5,138536,52023,6311,39753,0
428773,22,-1,5,8,210484,130091,64444,84878,0
350676,33,8,8,0,102227,253483,38841,82438,1
370055,36,5,-2,8,212292,241054,34127,7612,0
157078,47,3,-1,4,13811,339655,41124,26221,0
264547,37,2,6,1,210108,50511,84659,26433,0
322093,56,1,8,0,340078,313752,51926,88041,0
191353,50,2,-2,7,150852,191417,60488,36971,0
461976,28,4,1,3,372817,371651,43773,20507,0
360959,44,7,-2,4,376214,244715,50226,30721,0
283264,67,-2,-1,2,387104,267742,51048,85828,1
285107,50,8,2,3,16389,144475,12869,67399,0
339926,39,-2,4,-1,18558,121670,72126,33470,0
379068,52,1,-2,4,164749,364482,44040,55526,0
406222,60,1,-1,3,298463,356184,31379,57935,0
332768,21,0,-2,4,374247,175131,52397,95588,1
141994,58,7,6,-1,11923,307890,54387,58544,0
382461,25,0,6,7,14114,46768,58531,85670,0
80793,57,-1,6,2,288842,105163,85822,81230,0
432020,66,7,8,2,79984,367543,66469,32624,1
451618,29,8,1,-1,353764,87333,70208,61785,0
127574,32,8,6,0,12693,377739,71993,24752,1
40750,34,7,0,2,-2133,386822,11675,72258,0
177570,56,3,4,-1,301417,114069,95659,79405,0
178001,30,2,-2,1,115929,165709,7093,97552,0
68906,63,7,7,4,59463,32018,98801,62441,0
237276,41,-1,3,-2,77999,8219,58878,59522,1
302441,58,-1,8,2,327073,21018,26379,62264,0
94981,22,0,5,5,269572,391370,67551,15634,0
169132,59,4,8,5,326423,75375,82714,45852,0
145958,56,7,6,5,102717,67545,34450,49860,0
458250,38,-2,7,4,86638,191321,47699,97577,0
179087,29,2,7,2,351534,277677,86350,96936,0
103607,54,4,-2,6,225403,114748,93177,39612,0
165346,65,3,3,2,53803,112726,73035,56840,0
170482,21,0,6,-2,284784,41186,91077,6807,0
15574,43,5,2,7,356867,206446,26571,1300,0
381540,22,-2,6,2,382240,100821,86333,20435,0
61924,66,5,4,0,28061,58019,16446,45667,0
270078,38,7,3,7,232475,118971,3189,30724,0
201026,31,4,8,6,147120,312840,2629,97569,0
53585,30,4,1,3,289550,399762,11436,91247,0
452480,62,2,7,6,181211,94501,76868,42579,0
436618,68,0,8,3,103121,7968,13970,12624,0
143623,57,4,8,8,50016,6426,14694,77537,1
387275,44,0,1,6,121529,80260,92153,37079,0
208453,24,1,1,2,290341,170138,47721,35442,0
179957,28,1,0,0,182869,260177,14459,62453,1
264664,64,-2,-1,0,148535,280516,87995,58989,0
408342,31,6,0,8,364106,176369,55633,51053,0
154954,50,-2,2,8,54412,42845,48501,45790,0
186048,60,3,1,2,288220,190415,15167,47865,0
341454,55,4,-1,6,386388,375438,41061,73299,1
335341,65,1,1,7,149713,222126,14387,77211,0
298514,26,8,3,5,133443,189236,35215,77614,0
341588,37,0,4,7,175929,214393,43736,17023,0
454209,63,4,1,6,53002,106333,34270,22934,0
160534,42,5,3,5,160866,155717,49667,65131,0
310340,21,-2,2,-2,244615,363496,25774,40647,0
33397,51,6,7,-1,250961,64731,65107,87729,0
292751,27,1,1,7,9601,300219,25618,74660,1
393556,23,0,-1,-1,240309,1896,93133,98082,0
167364,67,0,-2,8,31068,272703,54967,80008,0
383345,55,-2,3,4,69749,386880,64165,65954,0
178606,49,1,3,3,133311,214474,77303,2915,1
186251,67,6,8,1,36350,84088,8458,98001,0
71929,29,6,-1,-2,8232,351412,33139,5264,0
293891,29,-1,3,7,186049,268907,49314,64362,0
73133,69,-1,-2,7,21491,290579,4187,71036,0
312666,63,0,0,4,370549,381386,49686,12432,0
369223,61,2,7,7,103812,386051,90590,8507,1
436634,46,7,1,2,195751,165958,9119,47665,0
225503,41,3,7,6,170102,253900,24065,10708,0
132720,64,7,8,6,356732,333067,47216,61827,0
407755,48,4,1,0,373179,278070,87252,4554,1
121491,41,8,5,5,203927,159655,255,70740,0
238289,66,5,0,0,211211,94603,56808,36406,1
105287,61,1,8,0,208574,211775,21500,52222,1
468076,67,6,2,1,249804,329815,93948,87417,0
464774,40,8,5,6,279277,76746,87926,59255,0
407584,40,-2,0,6,160555,93065,46226,82615,1
177116,54,5,3,-2,390217,383490,19605,40296,0
362103,67,0,0,2,375524,132464,50958,98948,1
153977,66,-1,7,0,261479,36200,21732,50051,0
298766,33,5,6,8,311965,210180,34394,45766,0
456694,36,5,1,5,29253,37044,85701,93699,1
297307,29,2,4,4,20547,198136,68211,5723,1
49328,67,-1,-2,5,364713,139695,93724,8324,0
468168,23,-1,3,-1,386547,75197,20535,7564,0
51548,33,-2,3,3,205902,138092,26731,78446,0
346275,46,4,3,8,396619,378988,63550,70222,0
40580,46,5,7,8,115106,210087,4873,43021,0
296348,40,-2,0,-1,301061,-5781,51970,58436,0
130454,54,1,2,3,237627,205086,43688,52561,0
59067,29,0,7,5,96463,8060,69596,98745,1
329532,55,-2,-2,-1,218872,38178,90702,16761,0
30448,43,3,3,-2,361189,4572,26997,30982,0
67221,57,1,5,8,103015,353538,61408,3320,0
274997,28,8,4,8,374107,278028,73710,55855,0
176280,25,7,5,1,2919,382051,31240,48129,1
76008,48,6,8,-2,47783,24007,34640,96596,0
414042,22,0,7,5,268667,197539,68431,81649,1
275660,58,1,-2,-2,108171,71272,7453,29616,0
161956,42,4,3,2,189674,270102,92127,81465,0
475536,65,-2,2,2,171846,320707,53631,28536,1
328882,45,6,7,0,75964,45298,32549,7713,0
395289,63,7,6,6,36417,48877,49177,8430,0
431855,24,5,3,6,69292,281030,7009,32890,0
197644,22,7,0,7,299047,135076,26364,48892,0
283740,25,4,6,4,150780,261150,48581,61983,0
396910,31,5,4,-1,293302,81772,67281,67036,0
401321,27,7,7,2,133623,129523,1762,96757,0
256553,50,1,8,-1,321269,163087,90050,72920,0
338380,58,3,6,-2,315009,109917,28414,44087,0
264271,30,-1,0,2,146490,180593,59944,90029,1
74057,61,6,3,0,339479,111730,89027,26553,1
468138,60,8,3,-1,235259,250225,60467,99901,1
491799,45,-2,-1,-2,-8694,298637,88609,12125,0
312606,47,6,3,2,134824,29479,90708,26388,0
272911,40,-1,4,-2,136260,76022,25210,97042,0
396302,48,6,4,4,175588,56438,59497,94767,0
386645,28,1,-2,8,123550,126457,82285,10113,0
218851,46,6,7,1,238431,86079,36338,78532,1
373584,68,0,0,8,1557,77863,94229,33948,0
259599,63,0,-2,3,240092,69648,64035,47674,0
194381,62,4,1,0,145416,187597,86368,3420,0
87228,61,7,6,7,65120,398325,51607,18120,1
409965,64,-2,2,6,73597,259113,20641,35186,0
142886,41,2,6,4,69655,1114,35294,98400,0
403545,48,2,2,3,126822,310299,3300,37091,0
64796,27,-1,-1,7,130434,184133,23523,60449,0
448741,41,1,4,0,71911,113441,88149,32940,0
498206,28,0,2,6,86955,286594,22393,2071,1
409263,45,6,1,5,69334,64495,95365,17309,0
200710,23,1,-1,7,79956,193590,36662,71749,0
490536,54,6,5,0,267150,376633,12426,47870,0
322067,66,1,3,6,264512,305977,72161,78002,0
121195,37,1,-1,2,94917,177851,2848,31032,0
429855,29,8,5,5,-7954,11742,35753,10439,0
57717,53,-2,-2,0,79768,137051,47758,8455,1
401597,24,2,0,2,32936,188831,55728,8522,0
175696,27,-2,-2,3,377805,305574,59427,13736,0
431136,38,-1,8,5,88582,283800,87169,73016,0
258550,60,3,-2,7,80729,17348,83149,40567,0
479542,27,-1,3,6,64524,246917,13290,87274,0
293895,27,6,6,5,209549,289769,29642,40161,0
63997,29,6,3,4,352857,348963,23601,83543,0
343175,21,-1,3,4,57404,28726,26747,38321,1
430505,69,3,-1,-2,44478,4002,89144,93048,0
355973,38,4,1,-1,-3750,369418,68259,19013,0
304700,22,0,8,3,108529,56570,75983,36081,0
168497,68,-1,4,4,36426,358432,52039,6263,0
145102,46,-2,5,8,336564,360808,15551,26956,0
25064,59,3,4,1,236302,228807,5711,97033,0
242931,48,8,6,4,235815,231615,22533,15879,1
292320,67,0,7,-2,388449,387249,11042,99439,0
160946,26,-2,0,3,328858,258933,17167,99355,1
318019,41,-2,0,5,50696,-3274,40130,27028,0
99402,66,-2,4,1,17897,11395,43921,18468,0
357235,68,5,6,6,178340,259739,36640,99607,0
176807,64,2,7,5,7901,382807,74090,49474,0
254987,36,-1,8,5,2610,99408,96800,90823,0
11537,38,2,0,3,178046,231955,22529,92835,0
95802,51,3,8,-2,156752,314276,74313,95531,1
401716,45,1,-2,1,12722,222159,38930,40845,0
217990,30,4,6,0,93104,182303,16964,18003,0
281640,22,2,5,0,205914,218381,60223,28892,0
433873,32,6,3,7,12167,350044,85385,82287,0
130773,21,5,1,-2,353643,372898,5784,71034,0
412893,43,7,6,8,234003,105662,8397,11551,0
379676,51,7,5,-2,355260,107939,43309,66773,1
142152,46,7,5,7,33498,196285,25356,7230,1
